Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
55,04-08-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,37,164,66
55,07-08-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,43,256,52
55,12-08-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,44,200,36
55,17-08-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,45,151,44
55,20-08-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,46,198,32
55,25-08-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,41,253,58
55,28-08-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,39,197,65
55,03-09-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,44,283,87
55,08-09-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,44,236,28
55,11-09-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,41,224,78
55,16-09-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,41,232,110
55,21-09-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,40,214,71
55,24-09-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,40,241,63
55,01-10-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,37,241,51
55,07-10-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,45,229,99
55,12-10-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,43,395,98
55,15-10-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,39,266,76
55,20-10-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,42,248,154
55,26-10-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,45,276,158
55,29-10-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,45,235,111
55,04-11-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,46,275,115
55,10-11-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,44,343,163
55,13-11-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,51,256,56
55,18-11-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,43,202,127
55,23-11-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,46,284,161
55,27-11-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,44,302,122
55,03-12-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,44,343,NA
55,08-12-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,39,359,NA
55,11-12-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,38,428,NA
55,16-12-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,42,149,NA
55,21-12-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,43,296,NA
55,29-12-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",13,51,253,NA
55,31-12-15,Delhi,Delhi,"Nizamuddin, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",NA,71,270,NA
57,01-01-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,67,397,110
57,06-01-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,55,250,155
57,09-01-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,65,344,163
57,14-01-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,61,258,144
57,19-01-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,58,351,135
57,22-01-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,NA,NA,NA,121
57,28-01-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,62,289,101
57,03-02-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,61,254,165
57,06-02-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,52,233,115
57,11-02-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,61,302,170
57,16-02-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,63,400,151
57,19-02-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,60,306,138
57,24-02-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,62,362,154
57,05-03-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,49,223,126
57,11-03-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,59,175,122
57,16-03-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,53,158,64
57,19-03-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,62,167,85
57,24-03-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,58,210,93
57,27-03-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,62,197,71
57,07-04-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,59,167,76
57,10-04-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,55,151,99
57,15-04-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,57,207,90
57,20-04-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,54,340,84
57,23-04-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,63,300,115
57,28-04-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,59,227,38
57,05-05-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,56,232,119
57,08-05-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,51,239,74
57,13-05-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,56,157,45
57,18-05-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,5,48,270,76
57,21-05-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,45,204,48
57,26-05-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,44,300,49
57,01-06-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,50,258,28
57,04-06-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,43,220,105
57,09-06-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,52,324,56
57,12-06-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,45,330,39
57,17-06-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,55,303,63
57,22-06-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,44,316,76
57,25-06-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,42,214,68
57,01-07-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,49,246,39
57,06-07-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,46,106,18
57,09-07-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,51,197,45
57,14-07-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,53,223,23
57,17-07-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,41,204,NA
57,22-07-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,45,289,32
57,27-07-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,45,219,18
57,30-07-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,44,218,14
57,05-08-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,37,104,51
57,10-08-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,NA,NA,NA,50
57,13-08-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,NA,NA,NA,54
57,18-08-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,NA,NA,NA,29
57,21-08-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,NA,NA,NA,29
57,26-08-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,NA,NA,NA,31
57,01-09-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,57,217,34
57,04-09-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,61,211,43
57,09-09-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,50,225,39
57,14-09-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,50,231,75
57,17-09-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,44,184,81
57,22-09-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,41,125,19
57,28-09-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,NA,NA,NA,99
57,05-10-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,58,249,106
57,08-10-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,58,250,85
57,13-10-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,50,247,72
57,16-10-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,60,327,318
57,21-10-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,59,289,142
57,27-10-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,53,173,161
57,02-11-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,53,371,162
57,04-11-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,63,445,123
57,10-11-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,NA,NA,NA,300
57,16-11-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,64,371,148
57,19-11-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,69,413,245
57,24-11-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,71,389,206
57,01-12-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,74,254,NA
57,04-12-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,72,298,NA
57,09-12-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,5,82,257,NA
57,14-12-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,5,85,242,NA
57,17-12-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,69,450,NA
57,29-12-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,5,52,309,NA
57,30-12-15,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,NA,NA,301,NA
58,07-01-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,61,289,151
58,12-01-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,61,425,147
58,15-01-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,59,266,152
58,20-01-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,65,272,139
58,23-01-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,59,165,99
58,29-01-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,8,59,222,NA
58,04-02-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,59,126,NA
58,09-02-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,54,276,78
58,12-02-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,52,214,172
58,17-02-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,56,343,155
58,20-02-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,61,287,107
58,25-02-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,54,263,138
58,03-03-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,59,113,64
58,09-03-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,57,234,55
58,12-03-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,58,294,69
58,17-03-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,60,238,42
58,20-03-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,50,155,62
58,25-03-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,60,232,98
58,30-03-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,63,145,45
58,08-04-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,59,166,48
58,13-04-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,52,224,64
58,16-04-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,52,248,52
58,21-04-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,57,334,46
58,24-04-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,53,355,94
58,29-04-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,51,352,NA
58,06-05-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,53,261,97
58,11-05-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,57,265,54
58,14-05-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,53,240,95
58,19-05-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,50,294,116
58,22-05-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,46,192,129
58,27-05-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,47,314,81
58,02-06-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,49,543,44
58,05-06-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,47,250,78
58,10-06-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,53,295,NA
58,15-06-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,50,261,93
58,18-06-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,48,254,100
58,23-06-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,48,166,86
58,26-06-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,50,266,NA
58,02-07-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,54,133,45
58,07-07-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,43,138,54
58,15-07-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,47,226,NA
58,20-07-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,44,126,NA
58,23-07-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,46,148,NA
58,28-07-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,40,221,NA
58,03-08-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,39,139,NA
58,06-08-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,40,267,NA
58,11-08-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,49,167,NA
58,14-08-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,43,151,NA
58,19-08-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,44,179,NA
58,24-08-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,44,66,NA
58,27-08-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,40,194,NA
58,02-09-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,51,179,NA
58,07-09-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,54,215,NA
58,10-09-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,47,215,NA
58,15-09-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,44,215,NA
58,18-09-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,50,265,NA
58,23-09-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,45,109,NA
58,29-09-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,44,229,NA
58,06-10-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,54,269,NA
58,09-10-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,56,249,NA
58,14-10-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,66,229,NA
58,19-10-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,54,276,NA
58,23-10-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,52,334,NA
58,28-10-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,62,269,NA
58,03-11-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,64,314,220
58,06-11-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,60,405,265
58,12-11-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,59,281,262
58,17-11-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,62,170,144
58,20-11-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,63,234,143
58,26-11-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,67,470,210
58,02-12-15,Delhi,Delhi,"Shahadra, Delhi",Central Pollution Control Board,Industrial Area,4,76,366,NA
