Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
144,7/6/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,43,55,NA
144,7/12/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,71,37,NA
144,13/07/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,51,46,NA
144,17/07/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,64,89,NA
144,18/07/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,51,114,NA
144,19/07/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",4,54,138,NA
144,8/2/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,50,61,NA
144,8/3/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,59,63,NA
144,8/4/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",4,54,54,NA
144,17/08/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,43,57,NA
144,18/08/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,47,53,NA
144,19/08/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,35,69,NA
144,28/08/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,61,37,NA
144,29/08/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",4,39,40,NA
144,9/12/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,34,63,NA
144,13/09/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,20,29,NA
144,14/09/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,21,22,NA
144,18/09/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,42,47,NA
144,19/09/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,34,62,NA
144,20/09/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,44,69,NA
144,28/09/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,86,94,NA
144,29/09/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,67,77,NA
144,10/3/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,100,112,NA
144,10/4/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,105,119,NA
144,10/5/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,106,122,NA
144,16/10/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,98,91,NA
144,17/10/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,91,153,NA
144,18/10/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",3,87,161,NA
144,29/10/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",6,120,353,NA
144,30/10/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,159,325,NA
144,11/6/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",9,110,523,NA
144,11/7/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",9,99,544,NA
144,11/8/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",29,130,232,NA
144,15/11/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",12,128,364,NA
144,16/11/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",12,136,345,NA
144,17/11/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",15,109,257,NA
144,21/11/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",4,124,189,NA
144,22/11/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",7,115,177,NA
144,12/4/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",3,114,214,NA
144,12/5/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",4,117,183,NA
144,12/6/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,114,154,NA
144,20/12/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,93,175,NA
144,21/12/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,92,225,NA
144,22/12/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",4,96,384,NA
144,26/12/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,59,369,NA
144,27/12/2012,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",7,55,299,NA
146,1/3/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",15,115,425,NA
146,1/4/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",21,112,415,NA
146,6/5/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",13,77,201,NA
146,1/10/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",19,95,320,NA
146,1/11/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",10,81,427,NA
146,1/12/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",12,83,312,NA
146,27/01/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",16,115,303,NA
146,28/01/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",16,110,245,NA
146,2/7/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",14,100,195,NA
146,2/8/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",15,100,168,NA
146,2/9/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",12,84,222,NA
146,15/02/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",10,109,202,NA
146,16/02/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",24,110,195,NA
146,17/02/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",16,101,233,NA
146,21/02/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",18,113,283,NA
146,22/02/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",31,107,285,NA
146,3/1/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",30,113,283,NA
146,3/2/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",21,91,151,NA
146,3/3/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",18,96,155,NA
146,14/03/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",5,72,166,NA
146,15/03/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",11,84,184,NA
146,16/03/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",12,102,272,NA
146,27/03/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",21,94,314,NA
146,28/03/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",14,59,317,NA
146,4/10/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",5,96,197,NA
146,4/11/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",6,95,149,NA
146,17/04/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,98,219,NA
146,18/04/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",4,87,201,NA
146,19/04/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,75,227,NA
146,24/04/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",7,96,232,NA
146,25/04/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",10,95,241,NA
146,26/04/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",4,75,220,NA
146,5/2/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",4,123,378,NA
146,4/3/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,121,505,NA
146,5/9/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,102,343,NA
146,5/10/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,68,415,NA
146,5/11/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,104,211,NA
146,23/05/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",4,95,437,NA
146,24/05/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",4,81,290,NA
146,25/05/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,59,438,NA
146,19/06/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,77,312,NA
146,20/06/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,40,515,NA
146,21/06/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,42,406,NA
146,22/06/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,47,372,NA
146,26/06/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,62,530,NA
146,27/06/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,83,307,NA
146,28/06/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,66,295,NA
146,29/06/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,50,284,NA
146,7/3/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",3,43,120,NA
146,7/4/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,41,154,NA
146,7/5/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,63,171,NA
146,7/12/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,49,69,NA
146,13/07/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,64,98,NA
146,24/07/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,50,116,NA
146,25/07/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",5,50,82,NA
146,26/07/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",3,55,110,NA
146,8/2/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,57,142,NA
146,8/3/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",3,67,154,NA
146,8/4/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",3,62,86,NA
146,8/7/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,61,102,NA
146,8/8/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,54,72,NA
146,8/9/2012,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,45,64,NA
